Date,Model_masked,total_p10,total_p50,total_p90
2026-02,AAA1,0,0,0
2026-02,AAA12,0,0,0
2026-02,AAA2,0,0,3
2026-02,AAA21,0,0,0
2026-02,AAA3,1,3,4
2026-02,AAA31,0,0,0
2026-02,AAA4,2,2,8
2026-02,AAA42,0,0,0
2026-02,AAA51,0,0,0
2026-02,AAA6,1,1,4
2026-02,AAA63,0,0,0
2026-02,AAA72,0,2,5
2026-02,AAA84,0,0,0
2026-02,AAA9,0,0,0
2026-02,AAA93,0,0,0
2026-02,AAC2,0,0,0
2026-02,AB2,0,0,0
2026-02,AB21,0,0,0
2026-02,AB3,0,0,0
2026-02,AB31,0,0,0
2026-02,AB4,0,0,0
2026-02,AB42,0,0,0
2026-02,AB51,0,0,0
2026-02,AB6,0,0,0
2026-02,AB63,0,0,0
2026-02,AB72,0,0,0
2026-02,AB84,0,0,0
2026-02,AB9,0,0,0
2026-02,AB93,0,0,0
2026-02,AF2,0,0,0
2026-03,AAA1,0,0,0
2026-03,AAA12,0,0,0
2026-03,AAA2,0,1,5
2026-03,AAA21,0,0,0
2026-03,AAA3,1,5,8
2026-03,AAA31,0,0,0
2026-03,AAA4,1,5,9
2026-03,AAA42,0,0,0
2026-03,AAA51,0,0,0
2026-03,AAA6,0,3,7
2026-03,AAA63,0,0,0
2026-03,AAA72,0,3,8
2026-03,AAA84,0,0,0
2026-03,AAA9,0,0,0
2026-03,AAA93,0,0,0
2026-03,AAC2,0,0,0
2026-03,AB2,0,0,0
2026-03,AB21,0,0,0
2026-03,AB3,0,0,0
2026-03,AB31,0,0,0
2026-03,AB4,0,0,0
2026-03,AB42,0,0,0
2026-03,AB51,0,0,0
2026-03,AB6,0,0,0
2026-03,AB63,0,0,0
2026-03,AB72,0,0,0
2026-03,AB84,0,0,0
2026-03,AB9,0,0,0
2026-03,AB93,0,0,0
2026-03,AF2,0,0,0
2026-04,AAA1,0,0,0
2026-04,AAA12,0,0,0
2026-04,AAA2,0,0,2
2026-04,AAA21,0,0,0
2026-04,AAA3,1,4,6
2026-04,AAA31,0,0,0
2026-04,AAA4,1,3,6
2026-04,AAA42,0,0,0
2026-04,AAA51,0,0,0
2026-04,AAA6,0,3,5
2026-04,AAA63,0,0,0
2026-04,AAA72,0,1,5
2026-04,AAA84,0,0,0
2026-04,AAA9,0,0,0
2026-04,AAA93,0,0,0
2026-04,AAC2,0,0,0
2026-04,AB2,0,0,0
2026-04,AB21,0,0,0
2026-04,AB3,0,0,0
2026-04,AB31,0,0,0
2026-04,AB4,0,0,0
2026-04,AB42,0,0,0
2026-04,AB51,0,0,0
2026-04,AB6,0,0,0
2026-04,AB63,0,0,0
2026-04,AB72,0,0,0
2026-04,AB84,0,0,0
2026-04,AB9,0,0,0
2026-04,AB93,0,0,0
2026-04,AF2,0,0,0
